PM10,NO,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,PM2.5
None,11.81,15.59,11.28,14.28,0.74,27.18,0.4,1.45,None
None,11.82,16.08,11.06,14.66,0.74,26.86,0.4,1.45,None
None,11.8,15.64,11.48,14.29,0.73,27.13,0.41,1.44,None
None,12.2,16.66,11.41,13.92,0.74,27.38,0.41,1.44,None
None,11.88,16.28,11.34,13.11,0.73,27.23,0.41,1.43,None
None,11.7,15.84,11.3,13.56,0.75,26.87,0.42,1.46,None
None,12,15.45,11.55,13.21,0.75,26.98,0.4,1.42,None
None,12.38,16.1,11.41,11.08,0.74,27.63,0.42,1.46,None
None,11.91,15.72,11.29,11.49,0.74,27.61,0.41,1.44,None
None,12.46,15.93,11.31,11,0.73,27.26,0.42,1.48,None
None,11.84,16.14,11.25,12.01,0.74,27.37,0.41,1.48,None
None,12.01,16.03,11.27,8.8,0.73,27.05,0.41,1.45,None
None,12.04,15.7,11.33,8.38,0.75,27.41,0.41,1.46,None
None,12,15.82,11.15,7.08,0.74,30.6,0.42,1.44,None
None,12.2,16.09,11.45,6.15,0.74,27.61,0.41,1.47,None
None,12.11,16.14,11.31,14.75,0.75,27.73,0.41,1.46,None
None,11.98,16.38,11.41,13.8,0.74,27.22,0.41,1.45,None
None,12.28,15.95,11.2,15.16,0.76,27.65,0.41,1.45,None
None,11.89,15.66,11.35,13.25,0.74,27.35,0.41,1.43,None
None,12.29,15.94,11.41,7,0.73,27.34,0.42,1.45,None
None,11.89,16.34,11.33,6.82,0.73,27.54,0.4,1.44,None
None,11.98,16.2,11.2,7.81,0.75,27.59,0.41,1.46,None
None,11.84,15.9,11.18,7.81,0.75,27.33,0.4,1.44,None
None,12.11,15.81,11.16,12.99,0.74,27.13,0.41,1.44,None
